category_2,category_3,number_of_listings,avg_listing_price_eur,revenue_from_push_ups
ACCESSORIES_JEWELLERY,ACCESS_MOBILE,14228,28.0818512792,492.0
ACCESSORIES_JEWELLERY,BELTS,29838,21.2731614049,1382.0
ACCESSORIES_JEWELLERY,GLOVES,6350,17.0438598425,304.0
ACCESSORIES_JEWELLERY,JEWELRY,343493,17.9358800034,20554.0
ACCESSORIES_JEWELLERY,KEY_RINGS,5,15.9,NULL
ACCESSORIES_JEWELLERY,OTHER_ACCESSORIES_AND_JEWELLERY,52245,33.0235475165,2782.0
ACCESSORIES_JEWELLERY,SOCKS_TIGHTS_STOCKINGS,8741,6.55535179041,270.0
ACCESSORIES_JEWELLERY,SUNGLASSES,34020,47.9309432687,3902.0
ACCESSORIES_JEWELLERY,TRADITIONA_ACCESSORIES_WOMEN,271,16.5073800738,6.0
ACCESSORIES_JEWELLERY,WATCHES,66595,67.9229344545,9238.0
ACCESSORIES_JEWELLERY,WOM_ACC_HATS_CAPS,53325,13.6160581341,2448.0
ACCESSORIES_JEWELLERY,WOM_ACC_SCARVES_SHAWLS,144286,12.8119903525,5284.0
ACCESSORIES_JEWELLERY,W_ACC_UMBRELLAS,1,5.0,NULL
ACCESSORIES_JEWELLERY,W_HAIR_ACCESSORIES,3417,10.0788088967,100.0
ACCESSORIES_JEWELLERY,W_OTHER_ACCESSORIES,20205,17.1827295224,1116.0
ALL_OTHERS,NULL,70215,18.2690674357,3274.0
BABY_CARE,BABY_CARRIERS_AND_BABY_CARRYING_BELTS,23534,52.9211273052,3042.0
BABY_CARE,BABY_FEEDING_ACCESSORIES,35882,10.5593980269,1534.0
BABY_CARE,BAB_BIBS,4836,4.79134615385,42.0
BABY_CARE,BATHING_GEAR,10482,9.72963270368,378.0
BABY_CARE,BOUNCERS_AND_SWINGS,9472,46.1440413851,1122.0
BABY_CARE,CHILD_SAFETY,4960,17.8252580645,230.0
BABY_CARE,DIAPERING_AND_CARING,22210,22.1813354345,1598.0
BABY_CARE,POTTIES,1438,9.01498609179,48.0
BABY_CARE,SLEEPING_ACCESSORIES,92987,12.7958188779,5206.0
BABY_CARE,TECHNICAL_ITEMS_FOR_BABIES_AND_KIDS,11227,27.7145827024,1044.0
BABY_CARE,UMBRELLAS,322,9.16618012422,4.0
BABY_FURNITURE,BABY_BEDS,6101,91.7610752336,886.0
BABY_FURNITURE,BEDDING_FOR_DIAPERS_CHANGING,1329,32.7469149737,108.0
BABY_FURNITURE,BEDS_FOR_KIDS,3083,101.02573143,396.0
BABY_FURNITURE,EDUCATIONAL_BLANKETS,3069,21.3032909743,336.0
BABY_FURNITURE,KIDS_ROOM_FURNITURE,4479,77.6677807546,398.0
BABY_FURNITURE,MATTRESSES,1126,27.1142984014,126.0
BABY_FURNITURE,NIGHTLIGHTS,1847,15.364006497,144.0
BABY_FURNITURE,NURSERIES,4118,75.345675085,726.0
BABY_FURNITURE,PLAYPENS,4307,54.2287624797,514.0
BABY_FURNITURE,ROOM_DECORATION,8461,15.5366091479,506.0
BAGS_BACKPACKS,BACKPACKS,24933,38.7865764248,2824.0
BAGS_BACKPACKS,CLUTCHES,26274,32.5790659968,2122.0
BAGS_BACKPACKS,HANDBAGS,184771,69.9943067364,23136.0
BAGS_BACKPACKS,MAKE_UP_BAGS,6307,18.9632915808,438.0
BAGS_BACKPACKS,PURSES,29923,38.5927851485,3156.0
BAGS_BACKPACKS,SATCHELS_NEW,13,14.3076923077,2.0
BAGS_BACKPACKS,SHOULDER_BAGS,98807,43.7162957078,10992.0
BAGS_BACKPACKS,TOTE_BAGS,8233,12.3195299405,440.0
BAGS_BACKPACKS,TRADITIONAL_BAGS_DE,219,16.9346575342,4.0
BAGS_BACKPACKS,WOM_ACC_BAG_OTHER,15462,36.6085415858,1266.0
BAGS_BACKPACKS,W_BUM_BAGS,1,7.9,NULL
BAGS_BACKPACKS,W_HOLDALLS,7,26.4285714286,NULL
